<<<<<<< HEAD
dataset,baseline,comparison,mean_difference,matched_t,matched_df,matched_p_value,independent_t,independent_df,independent_p_value
Banknote Authentication,NBC,Bagging NBC (10),-0.0014704711347046872,-0.28115657480499306,4,0.7925346836368136,-0.06747231839455305,7.857776672975394,0.947890886226636
Banknote Authentication,NBC,Bagging NBC (20),0.0014518911745189378,0.38664688869998576,4,0.7187056341536076,0.06663371156997826,7.858527519418713,0.9485373033795911
Banknote Authentication,NBC,Bagging NBC (30),0.0029037823490378535,0.5577124185222145,4,0.6067779069741656,0.13818779810798565,7.96202867913008,0.8935229351627232
Banknote Authentication,Bagging NBC (10),Bagging NBC (20),0.002922362309223625,1.0917827732367489,4,0.3362805175903607,0.1259140694873292,7.999998912696433,0.9029068476137386
Banknote Authentication,Bagging NBC (10),Bagging NBC (30),0.004374253483742541,1.6351942459143136,4,0.1773480911924891,0.19456342771300267,7.965208010830572,0.8506055318861737
Banknote Authentication,Bagging NBC (20),Bagging NBC (30),0.0014518911745189157,0.5874325296051697,4,0.5884726767521155,0.06459169156952808,7.965591743188313,0.9500906617943868
Glass Identification,NBC,Bagging NBC (10),0.014396456256921365,0.40019896492105184,4,0.7094619814113153,0.2040356282625768,7.5414629964289945,0.8437234064616942
Glass Identification,NBC,Bagging NBC (20),0.023145071982281273,1.0462955929410307,4,0.3544822168266576,0.4317039388397978,7.319379485636271,0.6783889768150382
Glass Identification,NBC,Bagging NBC (30),0.04230343300110743,1.209660551176005,4,0.29301020200387967,0.6344832189649446,7.809393571826933,0.5439000126645545
Glass Identification,Bagging NBC (10),Bagging NBC (20),0.008748615725359909,0.21996612479410632,4,0.8366675365510441,0.13659726820451995,6.333527415561286,0.8955884726062068
Glass Identification,Bagging NBC (10),Bagging NBC (30),0.027906976744186063,3.2071349029490896,4,0.0326779233368031,0.3705153253081207,7.929971719938404,0.7206998325377445
Glass Identification,Bagging NBC (20),Bagging NBC (30),0.019158361018826155,0.5566068522238374,4,0.6074657594736906,0.3206949688557336,6.70143472215487,0.7582092729000683
Image Segmentation,NBC,Bagging NBC (10),-0.009523809523809535,-0.7844645405527362,4,0.4766206672728411,-0.2434322477800741,7.964601769911506,0.8138232409217462
Image Segmentation,NBC,Bagging NBC (20),0.0,0.0,4,1.0,0.0,7.956979995697997,1.0
Image Segmentation,NBC,Bagging NBC (30),0.0,0.0,4,1.0,0.0,7.288256227758004,1.0
Image Segmentation,Bagging NBC (10),Bagging NBC (20),0.009523809523809535,1.632993161855452,4,0.17780780835622137,0.2348880878058817,7.999619518691144,0.820196390791215
Image Segmentation,Bagging NBC (10),Bagging NBC (30),0.009523809523809535,0.38851434494290626,4,0.7174283599144877,0.2760262237369421,7.030129124820658,0.7904660371873369
Image Segmentation,Bagging NBC (20),Bagging NBC (30),0.0,0.0,4,1.0,0.0,7.002804612028668,1.0
=======
dataset,baseline,comparison,dataset_baseline_accuracy,dataset_comparison_accuracy,dataset_difference,dataset_z,dataset_p_value,dataset_large_sample,fold_mean_difference,fold_matched_t,fold_matched_df,fold_matched_p_value
Banknote Authentication,NBC,Bagging NBC (10),0.8979591836734694,0.8965014577259475,-0.001457725947521915,-0.12573421385104305,0.8999423180391652,True,-0.0014704711347046872,-0.28115657480499306,4,0.7925346836368136
Banknote Authentication,NBC,Bagging NBC (20),0.8979591836734694,0.8994169096209913,0.001457725947521915,0.1265327990082207,0.8993101878307586,True,0.0014518911745189378,0.38664688869998576,4,0.7187056341536076
Banknote Authentication,NBC,Bagging NBC (30),0.8979591836734694,0.9008746355685131,0.002915451895043719,0.25387791685089917,0.7995898757656432,True,0.0029037823490378535,0.5577124185222145,4,0.6067779069741654
Banknote Authentication,Bagging NBC (10),Bagging NBC (20),0.8965014577259475,0.8994169096209913,0.00291545189504383,0.25226248955476505,0.8008381797069885,True,0.002922362309223625,1.0917827732367489,4,0.3362805175903609
Banknote Authentication,Bagging NBC (10),Bagging NBC (30),0.8965014577259475,0.9008746355685131,0.004373177842565634,0.3795983970246523,0.7042435508967256,True,0.004374253483742541,1.6351942459143136,4,0.1773480911924889
Banknote Authentication,Bagging NBC (20),Bagging NBC (30),0.8994169096209913,0.9008746355685131,0.001457725947521804,0.127349807005604,0.8986635408916975,True,0.0014518911745189157,0.5874325296051697,4,0.5884726767521156
Glass Identification,NBC,Bagging NBC (10),0.602803738317757,0.616822429906542,0.014018691588784993,0.29727928651278623,0.7662532941794865,True,0.014396456256921365,0.40019896492105184,4,0.7094619814113152
Glass Identification,NBC,Bagging NBC (20),0.602803738317757,0.6261682242990654,0.02336448598130836,0.4965603545750332,0.6194991163162156,True,0.023145071982281273,1.0462955929410307,4,0.3544822168266577
Glass Identification,NBC,Bagging NBC (30),0.602803738317757,0.6448598130841121,0.04205607476635509,0.8980402978591572,0.36916406592798323,True,0.04230343300110743,1.209660551176005,4,0.29301020200387984
Glass Identification,Bagging NBC (10),Bagging NBC (20),0.616822429906542,0.6261682242990654,0.009345794392523366,0.19932122819623047,0.8420114746252488,True,0.008748615725359909,0.21996612479410632,4,0.8366675365510441
Glass Identification,Bagging NBC (10),Bagging NBC (30),0.616822429906542,0.6448598130841121,0.028037383177570097,0.6009837224078172,0.5478508280292007,True,0.027906976744186063,3.2071349029490896,4,0.03267792333680307
Glass Identification,Bagging NBC (20),Bagging NBC (30),0.6261682242990654,0.6448598130841121,0.01869158878504673,0.4017307954039213,0.6878821580649825,True,0.019158361018826155,0.5566068522238374,4,0.6074657594736907
Image Segmentation,NBC,Bagging NBC (10),0.8,0.7904761904761904,-0.009523809523809601,-0.2418422539821553,0.8089023965875964,True,-0.009523809523809535,-0.7844645405527362,4,0.4766206672728413
Image Segmentation,NBC,Bagging NBC (20),0.8,0.8,0.0,0.0,1.0,True,0.0,0.0,4,1.0
Image Segmentation,NBC,Bagging NBC (30),0.8,0.8,0.0,0.0,1.0,True,0.0,0.0,4,1.0
Image Segmentation,Bagging NBC (10),Bagging NBC (20),0.7904761904761904,0.8,0.009523809523809601,0.2418422539821553,0.8089023965875964,True,0.009523809523809535,1.632993161855452,4,0.17780780835622126
